x,TCP,UDP,Batman-adv-orig
0,0,24,0
1,0,24,4
2,13,26,4
3,20,28,4
4,0,24,4
5,11,24,0
6,11,30,1
7,0,24,7
8,0,30,4
9,0,24,4
10,0,24,0
11,0,24,1
12,16,28,7
13,0,24,3
14,0,28,5
15,0,26,0
16,0,24,1
17,0,24,7
18,12,24,1
19,0,24,7
20,12,24,0
21,11,28,0
22,15,32,8
23,0,24,1
24,0,24,4
25,0,24,3
26,0,24,0
27,0,24,8
28,0,30,0
29,0,28,5
30,0,26,3
31,0,24,0
32,17,24,8
33,15,30,0
34,0,26,5
35,13,24,3
36,13,26,0
37,0,26,8
38,0,26,0
39,0,30,4
40,0,28,4
41,0,28,0
42,13,26,8
43,0,24,0
44,0,28,4
45,0,28,4
46,0,24,0
47,0,24,8
48,13,26,0
49,0,32,4
50,14,34,4
51,10,28,0
52,13,24,8
53,0,24,0
54,0,24,4
55,0,24,4
56,0,24,0
57,0,24,8
58,0,24,0
59,0,24,4
60,0,34,4
61,0,24,0
62,15,26,5
63,11,24,3
64,0,24,4
65,11,28,4
66,13,24,0
67,0,34,5
68,0,34,3
69,0,24,4
70,0,24,4
71,0,24,0
72,16,24,5
73,0,24,3
74,0,36,4
75,0,24,4
76,0,24,0
77,0,24,4
78,12,28,4
79,0,24,4
80,10,32,4
81,14,24,0
82,14,28,4
83,0,26,4
84,0,24,4
85,0,24,4
86,0,24,0
87,0,24,4
88,0,24,4
89,0,24,4
90,0,32,4
91,0,28,0
92,15,30,4
93,13,24,4
94,0,28,4
95,15,24,4
96,16,28,0
97,0,24,4
98,0,24,4
99,0,24,4
