"Interval start","witness 1","witness 2","witness 3"
0,6208,6451,5765
1,3172,3240,3330
2,3008,4177,4019
3,4450,4608,2934
4,2855,3680,3601
5,2929,2598,2519
6,3003,2672,2593
7,5558,4318,4340
8,2855,3456,3377
9,4197,3866,2603
10,3008,2677,2677
11,3082,2751,2751
12,3008,2677,2677
13,2934,2603,2603
14,2934,2603,2603
15,4254,3609,4855
16,2850,2440,2514
17,6482,5586,4318
18,4834,6097,4671
19,3408,5132,5132
20,3482,4460,4460
21,3482,4050,4124
22,3556,4124,4050
23,3408,4386,4386
24,3408,3976,3976
25,4335,4903,3892
26,3087,3655,3808
27,4553,5892,5897
28,3866,5524,4434
29,4070,3171,3171
30,5524,3497,4373
31,3787,3041,2934
32,3077,2593,2746
33,4101,3691,2524
34,2445,3112,2781
35,3339,2519,3008
36,2855,2519,2524
37,4649,4015,3988
38,2855,3377,3456
39,4322,3502,2934
40,2929,2598,2519
41,2855,3451,3456
42,3487,3003,2746
43,2855,2445,2524
44,2855,3456,3377
45,5017,3530,3675
46,2776,2366,2366
47,4150,4160,3920
48,4022,3612,2366
49,3186,4202,4612
50,2850,2440,2440
51,3754,2855,2855
52,2998,2588,2588
53,2776,2366,2366
54,3866,3377,2445
55,3250,3991,3991
56,3324,4587,4587
57,5112,5440,5530
58,3408,3976,3976
59,3408,3976,3976
60,5154,4386,5312
61,3482,4824,4824
62,3472,3803,3803
63,5834,5676,4070
64,4671,5748,5147
65,4513,3908,5171
66,3482,4460,4460
67,5202,5710,5530
68,3818,4386,3976
69,3408,3976,3976
70,3408,3976,3976
71,3892,4050,4460
72,3630,4198,4198
73,4340,3976,4908
74,4070,4228,4070
75,4169,4513,5748
76,3087,3655,3734
77,4639,4649,4078
78,4281,3871,2524
79,2855,3781,3860
80,2855,2445,2524
81,4019,2598,3609
82,3472,3729,3803
83,4182,3655,4513
84,3013,3581,3660
85,4070,5081,5081
86,3497,4144,3655
87,4229,4064,3745
88,2855,2598,2519
89,2855,2524,2445
90,4011,2934,4011
91,4019,3609,2598
92,3882,3729,4139
93,4586,4991,3655
94,3250,5147,5147
95,3250,3581,3581
96,4302,4144,4144
97,5038,6061,5971
98,3482,4050,4050
99,3408,3976,3976
100,4024,4592,3818
101,4256,3655,4587
102,3398,3729,3729
103,3734,5155,4745
104,3408,3976,3976
105,5970,4544,5970
106,3482,4460,4460
107,5993,5538,6381
108,4693,5340,3655
109,3013,4996,4917
110,2855,3581,3502
111,3339,3008,2519
112,3935,2751,3604
113,3008,2677,2677
114,5397,4182,3329
115,3329,3739,3818
116,3403,4824,4745
117,4959,5208,5039
118,5188,4666,4666
119,3250,3991,3991
120,4406,3581,4737
121,3734,4065,3655
122,3398,3729,3729
123,4570,4901,3655
124,4228,5226,5226
125,3660,3581,3991
126,3324,4065,4065
127,4790,4881,4881
128,3324,3655,3655
129,3660,3991,3581
130,3660,3581,3991
131,3324,3655,3655
132,3398,3729,3729
133,3324,4065,4065
134,4638,4480,4070
135,4406,3581,4737
136,3324,3655,3655
137,5640,6211,5039
138,5055,5386,3971
139,4419,5132,5985
140,3408,3976,3976
141,3482,4050,4050
142,4460,5392,5466
143,4661,5751,5234
144,3013,3581,3660
145,4103,3581,4434
146,3324,3655,3655
147,4896,4987,4881
148,3398,3729,3655
149,3250,3581,3581
150,4406,3581,4737
151,3324,3655,3655
152,5644,4964,5560
153,4497,5065,3734
154,3013,4235,4314
155,3013,4853,4932
156,4019,2598,3609
157,4402,4897,5063
158,3472,3729,3803
159,3660,4401,3991
160,3250,3581,3581
161,3324,3655,3655
162,4228,4144,4070
163,3882,3729,4213
164,3250,3581,3581
165,4816,3991,4737
166,3734,3655,4065
167,4402,5227,4913
168,4988,5655,4213
169,3250,3581,3581
170,3250,4827,4827
171,4302,4144,4144
172,3250,3581,3581
173,3472,3803,3803
174,3660,3991,3581
175,3660,3581,3991
176,4019,4592,5519
177,4405,4886,4733
178,3235,3630,3551
179,3708,2287,4039
180,5068,2761,4579
181,3456,3171,3535
182,3008,3166,3008
183,4323,4481,3156
184,3265,2934,2445
185,2855,3680,3601
186,3912,3092,2934
187,4081,3840,4001
188,3077,2746,2667
189,2855,2934,2855
190,3265,2524,2855
191,3265,2934,2445
192,2929,2598,2519
193,3077,2746,2667
194,2855,2524,2445
195,3921,2524,3511
196,3877,3298,4399
197,4980,4081,4321
198,4564,4154,2588
199,2776,3298,3298
200,4276,3939,5281
201,2855,2524,2445
202,2929,2598,2519
203,3487,4088,3599
204,2855,2445,2524
205,3912,2934,3092
206,2855,2445,2524
207,4501,3671,3930
208,2998,2593,2593
209,2855,2519,2598
210,4191,2445,3860
211,2855,2445,2524
212,2929,2519,2598
213,4643,4569,3082
214,2855,2519,2598
215,3912,4270,4428
216,2855,2445,2524
217,4321,3671,3750
218,4608,3319,3477
219,4386,4302,4460
220,4386,5239,5239
221,4386,4386,4228
222,4460,4460,4302
223,4534,5387,5387
224,4870,4712,4460
225,5542,4228,5542
226,5318,4638,5728
227,5634,6464,6224
228,6504,7594,5308
229,3986,3986,3986
230,3912,5068,5068
231,3912,3912,3912
232,3986,4396,4396
233,4060,4060,4060
234,4396,4396,3986
235,5318,4228,5318
236,5239,5239,4386
237,5694,5612,5612
238,4376,4534,4534
239,4712,4460,4870
240,6338,6013,6259
241,5318,4386,5318
242,4302,4460,4460
243,5532,5690,4534
244,4302,4460,4460
245,4228,5542,5542
246,4228,4386,4386
247,5536,6307,6307
248,4470,5402,4992
249,4302,4460,4460
250,5160,5318,4386
251,4386,4228,4386
252,4460,4302,4460
253,4534,4376,4534
254,4460,4302,4460
255,6042,4228,6042
256,5318,6502,5570
257,5228,5468,5138
258,5306,5306,4060
259,3986,3986,3986
260,5318,5654,6744
261,4386,4228,4386
262,4460,4302,4460
263,4534,4376,4534
264,5392,4302,5392
265,4070,5081,5081
266,4228,4386,4386
267,5626,6397,6307
268,3986,3986,4060
269,4060,4060,3986
270,5068,3912,5068
271,4322,4322,3912
272,4144,5234,5234
273,5818,5976,4534
274,4786,4534,4870
275,5239,5542,6395
276,4386,4386,4228
277,5852,5612,5454
278,4460,4460,4376
279,4534,4534,4302
280,5254,5333,5855
281,3912,3912,3912
282,3986,3986,3986
283,4322,4396,3912
284,4134,4060,4134
285,5158,3912,5158
286,4002,4322,4412
287,5318,5378,5318
288,6665,6739,4070
289,4608,4534,4450
290,4386,5632,5474
291,4386,4386,4228
292,4870,5802,5234
293,5081,4144,5081
294,4134,4060,4134
295,3912,3912,3912
296,5239,6092,5081
297,5942,5634,5702
298,5728,4228,5728
299,4134,4134,4134
