Interval start,witness 1,witness 2,witness 3,prover 1
0,1184,1184,1184,1184
1,592,592,592,592
2,592,592,592,592
3,0,0,0,0
4,0,0,0,0
5,1184,1184,1184,1184
6,592,592,592,592
7,592,592,592,592
8,0,0,0,0
9,0,0,0,0
10,1184,1184,1184,1184
11,592,0,0,0
12,592,1184,1184,1184
13,0,0,0,0
14,0,0,0,0
15,1184,1184,1184,1184
16,592,0,0,0
17,592,1184,1184,1184
18,0,0,0,0
19,0,0,0,0
20,1184,1184,1184,1184
21,592,0,0,0
22,592,1184,1184,1184
23,0,0,0,0
24,0,0,0,0
25,1184,1184,1184,1184
26,0,0,0,0
27,1184,1184,1184,1184
28,0,0,0,0
29,0,0,0,0
30,1184,1184,1184,1184
31,0,0,0,0
32,1184,1184,1184,1184
33,0,0,0,0
34,0,0,0,0
35,1184,1184,1184,1184
36,0,0,0,0
37,1184,1184,1184,1184
38,0,0,0,0
39,0,0,0,0
40,1184,1184,1184,1184
41,0,0,0,0
42,1184,1184,1184,1184
43,0,0,0,0
44,0,0,0,0
45,1184,1184,1184,1184
46,0,0,0,0
47,1184,1184,1184,1184
48,0,0,0,0
49,0,0,0,0
50,1184,1184,1184,1184
51,0,0,0,0
52,1184,1184,1184,1184
53,0,0,0,0
54,0,0,0,0
55,1184,1184,1184,1184
56,0,0,0,0
57,1184,1184,1184,1184
58,0,0,0,0
59,0,0,0,0
60,1184,1184,1184,1184
61,0,0,0,0
62,1184,1184,1184,1184
63,0,0,0,0
64,0,0,0,0
65,1184,1184,1184,1184
66,0,0,0,0
67,1184,1184,1184,1184
68,0,0,0,0
69,0,0,0,0
70,1184,1184,1184,1184
71,0,0,0,0
72,1184,1184,1184,1184
73,0,0,0,0
74,0,0,0,0
75,1184,1184,1184,1184
76,0,0,0,0
77,1184,1184,1184,1184
78,0,0,0,0
79,0,0,0,0
80,1184,1184,1184,1184
81,0,0,0,0
82,1184,1184,1184,1184
83,0,0,0,0
84,0,0,0,0
85,1184,1184,1184,1184
86,0,0,0,0
87,1184,1184,1184,1184
88,0,0,0,0
89,0,0,0,0
90,1184,1184,1184,1184
91,0,0,0,0
92,1184,1184,1184,1184
93,0,0,0,0
94,0,0,0,0
95,592,1184,592,1184
96,592,0,592,0
97,1184,1184,1184,1184
